images_list,label
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_0.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_10.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_20.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_30.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_41.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_51.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_61.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_72.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_82.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_92.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_103.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_113.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_123.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_133.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_144.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_154.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_164.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_175.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_185.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_195.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_206.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_216.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_226.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_236.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\122_144\frame_247.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_0.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_12.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_25.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_37.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_50.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_63.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_75.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_88.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_100.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_113.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_126.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_138.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_151.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_163.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_176.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_189.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_201.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_214.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_226.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_239.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_252.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_264.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face\0\139_130\frame_277.jpg,0
