images_list,label
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_0.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_10.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_21.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_32.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_43.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_54.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_65.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_76.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_87.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_98.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_109.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_120.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_131.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_142.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_153.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_164.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_174.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_185.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_196.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_207.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_218.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_229.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_240.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_251.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\126_104\frame_262.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_0.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_23.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_47.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_71.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_95.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_119.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_143.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_167.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_191.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_215.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_239.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_263.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_287.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_311.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_335.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_359.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_382.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_406.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_430.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_454.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_478.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_502.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_526.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_550.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\1\371\frame_574.jpg,1
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_0.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_15.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_30.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_46.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_61.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_76.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_92.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_107.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_122.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_138.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_153.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_168.jpg,0
C:\Users\zanog\Documents\Projects\deepfake-detection\datasets\train_face1\0\001_870\frame_184.jpg,0
